Zip,Zip Code Type,City,state,county,area_codes,Latitude,Longitude,Population
61603,STANDARD,Peoria,IL,Peoria County,309,40.74,-89.6,12724
61604,STANDARD,Peoria,IL,Peoria County,309,40.74,-89.6,24471
61605,STANDARD,Peoria,IL,Peoria County,309,40.74,-89.6,11126
61606,STANDARD,Peoria,IL,Peoria County,309,40.74,-89.6,3711
61607,STANDARD,Peoria,IL,Peoria County,309,40.74,-89.6,9947
61610,STANDARD,Creve Coeur,IL,Tazewell County,309,40.64,-89.59,4728
61611,STANDARD,East Peoria,IL,Tazewell County,309,40.67,-89.54,22010
61614,STANDARD,Peoria,IL,Peoria County,309,40.74,-89.6,24235
61615,STANDARD,Peoria,IL,Peoria County,309,40.74,-89.6,19836
61616,STANDARD,Peoria Heights,IL,Peoria County,309,40.74,-89.57,5152
61701,STANDARD,Bloomington,IL,McLean County,309,40.47,-88.97,27708
61704,STANDARD,Bloomington,IL,McLean County,309,40.47,-88.97,35840
61705,STANDARD,Bloomington,IL,McLean County,309,40.47,-88.95,7033
61720,STANDARD,Anchor,IL,McLean County,,40.56,-88.53,0
61721,STANDARD,Armington,IL,Tazewell County,309,40.33,-89.31,552
61722,STANDARD,Arrowsmith,IL,McLean County,309,40.44,-88.63,492
61723,STANDARD,Atlanta,IL,Logan County,"309,217",40.26,-89.23,2146
61724,STANDARD,Bellflower,IL,McLean County,309,40.34,-88.52,0
61725,STANDARD,Carlock,IL,McLean County,309,40.58,-89.13,1398
61726,STANDARD,Chenoa,IL,McLean County,815,40.74,-88.71,2318
61727,STANDARD,Clinton,IL,De Witt County,217,40.15,-88.96,8340
61728,STANDARD,Colfax,IL,McLean County,309,40.56,-88.61,1284
61729,STANDARD,Congerville,IL,Woodford County,309,40.61,-89.2,967
61730,STANDARD,Cooksville,IL,McLean County,309,40.54,-88.71,0
61731,STANDARD,Cropsey,IL,McLean County,309,40.6,-88.48,0
61732,STANDARD,Danvers,IL,McLean County,309,40.52,-89.17,1983
61733,STANDARD,Deer Creek,IL,Woodford County,309,40.62,-89.33,1017
61734,STANDARD,Delavan,IL,Tazewell County,309,40.37,-89.54,2454
61735,STANDARD,Dewitt,IL,De Witt County,,40.18,-88.74,0
61736,STANDARD,Downs,IL,McLean County,309,40.39,-88.87,1671
61737,STANDARD,Ellsworth,IL,McLean County,309,40.44,-88.71,454
61738,STANDARD,El Paso,IL,Woodford County,309,40.73,-89.01,3711
61739,STANDARD,Fairbury,IL,Livingston County,815,40.74,-88.51,4368
61740,STANDARD,Flanagan,IL,Livingston County,815,40.87,-88.86,1382
61741,STANDARD,Forrest,IL,Livingston County,815,40.75,-88.4,1506
61742,STANDARD,Goodfield,IL,Woodford County,309,40.62,-89.27,973
61743,STANDARD,Graymont,IL,Livingston County,815,40.9,-88.75,0
61744,STANDARD,Gridley,IL,McLean County,309,40.74,-88.88,1789
61745,STANDARD,Heyworth,IL,McLean County,309,40.31,-88.97,3820
61747,STANDARD,Hopedale,IL,Tazewell County,309,40.42,-89.41,1330
61748,STANDARD,Hudson,IL,McLean County,309,40.6,-88.98,2633
61749,STANDARD,Kenney,IL,De Witt County,217,40.09,-89.08,487
61752,STANDARD,Le Roy,IL,McLean County,309,40.34,-88.76,3813
61753,STANDARD,Lexington,IL,McLean County,309,40.64,-88.78,2690
61754,STANDARD,Mc Lean,IL,McLean County,309,40.31,-89.17,1183
61755,STANDARD,Mackinaw,IL,Tazewell County,309,40.53,-89.35,4031
61756,STANDARD,Maroa,IL,Macon County,217,40.03,-88.95,2023
61759,STANDARD,Minier,IL,Tazewell County,309,40.43,-89.31,1390
61760,STANDARD,Minonk,IL,Woodford County,309,40.9,-89.03,2209
61761,STANDARD,Normal,IL,McLean County,309,40.51,-88.99,32210
61764,STANDARD,Pontiac,IL,Livingston County,815,40.87,-88.64,10677
61769,STANDARD,Saunemin,IL,Livingston County,815,40.89,-88.4,568
61770,STANDARD,Saybrook,IL,McLean County,309,40.42,-88.52,997
61771,STANDARD,Secor,IL,Woodford County,309,40.74,-89.13,793
61772,STANDARD,Shirley,IL,McLean County,,40.41,-89.03,0
61773,STANDARD,Sibley,IL,Ford County,217,40.58,-88.37,0
61774,STANDARD,Stanford,IL,McLean County,309,40.43,-89.22,886
61775,STANDARD,Strawn,IL,Livingston County,815,40.65,-88.39,0
61776,STANDARD,Towanda,IL,McLean County,309,40.56,-88.9,1322
61777,STANDARD,Wapella,IL,De Witt County,,40.22,-88.96,821
61778,STANDARD,Waynesville,IL,De Witt County,"309,217",40.24,-89.12,607
61801,STANDARD,Urbana,IL,Champaign County,217,40.1,-88.2,14473
61802,STANDARD,Urbana,IL,Champaign County,217,40.1,-88.2,14743
61810,STANDARD,Allerton,IL,Vermilion County,217,39.91,-87.93,0
61811,STANDARD,Alvin,IL,Vermilion County,217,40.3,-87.6,608
61812,STANDARD,Armstrong,IL,Vermilion County,217,40.31,-87.88,0
61813,STANDARD,Bement,IL,Piatt County,217,39.92,-88.57,1672
61814,STANDARD,Bismarck,IL,Vermilion County,217,40.26,-87.6,1125
61816,STANDARD,Broadlands,IL,Champaign County,217,39.9,-87.99,456
61817,STANDARD,Catlin,IL,Vermilion County,217,40.06,-87.7,2245
61818,STANDARD,Cerro Gordo,IL,Piatt County,217,39.89,-88.73,1478
61820,STANDARD,Champaign,IL,Champaign County,217,40.11,-88.26,13832
61821,STANDARD,Champaign,IL,Champaign County,217,40.11,-88.26,24584
61822,STANDARD,Champaign,IL,Champaign County,217,40.11,-88.26,18189
61830,STANDARD,Cisco,IL,Piatt County,217,40.01,-88.72,0
61831,STANDARD,Collison,IL,Vermilion County,217,40.23,-87.8,0
61832,STANDARD,Danville,IL,Vermilion County,217,40.14,-87.61,26283
61833,STANDARD,Tilton,IL,Vermilion County,217,40.09,-87.63,1764
61834,STANDARD,Danville,IL,Vermilion County,217,40.14,-87.61,6186
61839,STANDARD,De Land,IL,Piatt County,217,40.12,-88.64,545
61840,STANDARD,Dewey,IL,Champaign County,217,40.3,-88.26,639
61841,STANDARD,Fairmount,IL,Vermilion County,217,40.04,-87.82,1218
61842,STANDARD,Farmer City,IL,De Witt County,309,40.24,-88.64,2618
61843,STANDARD,Fisher,IL,Champaign County,217,40.31,-88.34,2127
61844,STANDARD,Fithian,IL,Vermilion County,217,40.11,-87.87,930
61845,STANDARD,Foosland,IL,Champaign County,217,40.36,-88.42,0
61846,STANDARD,Georgetown,IL,Vermilion County,217,39.97,-87.63,4006
61847,STANDARD,Gifford,IL,Champaign County,217,40.3,-88.02,1124
61849,STANDARD,Homer,IL,Champaign County,217,40.03,-87.95,1644
61850,STANDARD,Indianola,IL,Vermilion County,217,39.92,-87.74,493
61851,STANDARD,Ivesdale,IL,Champaign County,217,39.94,-88.45,0
61852,STANDARD,Longview,IL,Champaign County,,39.88,-88.06,0
61853,STANDARD,Mahomet,IL,Champaign County,217,40.19,-88.4,11293
61854,STANDARD,Mansfield,IL,Piatt County,217,40.21,-88.5,1367
61855,STANDARD,Milmine,IL,Piatt County,217,39.89,-88.64,0
61856,STANDARD,Monticello,IL,Piatt County,217,40.02,-88.57,6850
61858,STANDARD,Oakwood,IL,Vermilion County,217,40.1,-87.77,2760
61859,STANDARD,Ogden,IL,Champaign County,217,40.11,-87.95,1172
61862,STANDARD,Penfield,IL,Champaign County,217,40.31,-87.96,479
61863,STANDARD,Pesotum,IL,Champaign County,217,39.91,-88.27,786
61864,STANDARD,Philo,IL,Champaign County,217,40,-88.15,1600
61865,STANDARD,Potomac,IL,Vermilion County,217,40.3,-87.79,1226
61866,STANDARD,Rantoul,IL,Champaign County,217,40.3,-88.15,11588
61870,STANDARD,Ridge Farm,IL,Vermilion County,217,39.89,-87.65,1092
61872,STANDARD,Sadorus,IL,Champaign County,217,39.96,-88.34,696
61873,STANDARD,Saint Joseph,IL,Champaign County,217,40.14,-88.06,5582
61874,STANDARD,Savoy,IL,Champaign County,217,40.06,-88.25,5179
61875,STANDARD,Seymour,IL,Champaign County,217,40.1,-88.41,680
61876,STANDARD,Sidell,IL,Vermilion County,217,39.91,-87.82,705
61877,STANDARD,Sidney,IL,Champaign County,217,40.02,-88.07,1500
61878,STANDARD,Thomasboro,IL,Champaign County,217,40.24,-88.18,1360
61880,STANDARD,Tolono,IL,Champaign County,217,39.98,-88.26,3725
61882,STANDARD,Weldon,IL,De Witt County,217,40.12,-88.75,590
61883,STANDARD,Westville,IL,Vermilion County,217,40.04,-87.63,3804
61884,STANDARD,White Heath,IL,Piatt County,217,40.08,-88.5,1172
